Compound,Similarity,Smiles,,,,Smiles
ZINC000002058277,0.765,CCCCCCCNC(=O)C1=CC=C(OC)C=C1,,,,
ZINC000019398296,0.608,COC1=CC=C(C=C1)C(=O)NC[C@H]1CCCNC1,,,,
ZINC000019398294,0.598,COC1=CC=C(C=C1)C(=O)NC[C@@H]1CCCNC1,,,,
ZINC000042771452,0.565,CC(=O)C1=CC=C(OCCC2CCNCC2)C=C1,,,,
ZINC000042771460,0.521,CC(=O)C1=CC=C(OCC[C@H]2CCCNC2)C=C1,,,,
ZINC000042771456,0.513,CC(=O)C1=CC=C(OCC[C@@H]2CCCNC2)C=C1,,,,
ZINC000042771467,0.466,CC(=O)C1=CC=C(OCC[C@H]2CCCCN2)C=C1,,,,
ZINC000042775795,0.465,CC(=O)C1=CC=C(OCC2CCNCC2)C=C1,,,,
ZINC000004454487,0.46,COC1=CC=C(C=C1)C(=O)NCCN1CCCC1,,,,
ZINC000042775787,0.395,CC(=O)C1=CC=C(OC[C@@H]2CCCNC2)C=C1,,,,
ZINC000042775791,0.388,CC(=O)C1=CC=C(OC[C@H]2CCCNC2)C=C1,,,,
CHEMBL9099,1, CCOC(=O)\\C=C(/C)\\C(\\F)=C\\C=C(/C)\\C=C\\C1=C(C)C(C)=C(OC)C=C1Cl,,,,
CHEMBL9076,1, COCCOCCOCC[N+]1(C)CCCC1,,,,
CHEMBL9331,1, CO[C@@H]1[C@H](N)[C@@H](OC)[C@H](O)[C@@H]1O,,,,
CHEMBL8840,1, CC(NC(=O)C1=CC=C(C)C=C1)C(O)=O,,,,
CHEMBL9143,1, CN(CC#C)\\N=N\\C1=CC=C(C=C1)C(O)=O,,,,
CHEMBL8791,1, COCCOCCOCC1CCC[N+]1(C)C,,,,
CHEMBL9113,1, CC1=CC=CC=C1,,,,
CHEMBL8441,1, COC1=CC=C(C=C1)C(=O)NCC(O)=O,,,,
CHEMBL8666,1, CCOC(=O)\\C=C(/C)\\C(\\F)=C\\C=C(/C)\\C=C\\C1=C(C)C(C)=C(OC)C=C1C,,,,
CHEMBL8663,1, CC(CC1=CC=CC=C1)N(C)CC#C,,,,
CHEMBL1163242,1, COC1=CC(OC)=C(\\C=C/C=O)C=C1OC,,,,
CHEMBL8642,1, COC1=CC(CC(C)N)=C(OC)C=C1,,,,
CHEMBL8695,1, CN(CC=C=C)CC1=CC=CC=C1,,,,
CHEMBL8600,1, COC1=CC(C)=C(OC)C=C1CC(C)N,,,,
CHEMBL8551,1, NC1=CC=CC(=C1)C(=O)NCC(O)=O,,,,
